layer	head	probe	baseline	ablated_acc	drop	macro_f1
10	2	spatial	0.1353	0.1220	+0.0133	0.1188
10	3	clean	0.1242	0.1242	+0.0000	0.1264
10	3	texture	0.1242	0.1197	+0.0044	0.1169
10	3	shape	0.1131	0.1242	-0.0111	0.1295
10	3	spatial	0.1353	0.1375	-0.0022	0.1324
10	4	clean	0.1242	0.1175	+0.0067	0.1176
10	4	texture	0.1242	0.1197	+0.0044	0.1182
10	4	shape	0.1131	0.1086	+0.0044	0.1154
10	4	spatial	0.1353	0.1220	+0.0133	0.1195
10	5	clean	0.1242	0.1264	-0.0022	0.1271
10	5	texture	0.1242	0.1286	-0.0044	0.1273
10	5	shape	0.1131	0.1109	+0.0022	0.1197
10	5	spatial	0.1353	0.1375	-0.0022	0.1310
10	6	clean	0.1242	0.1286	-0.0044	0.1265
10	6	texture	0.1242	0.1242	+0.0000	0.1219
10	6	shape	0.1131	0.1197	-0.0067	0.1261
10	6	spatial	0.1353	0.1330	+0.0022	0.1274
10	7	clean	0.1242	0.1197	+0.0044	0.1187
10	7	texture	0.1242	0.1131	+0.0111	0.1130
10	7	shape	0.1131	0.1042	+0.0089	0.1092
10	7	spatial	0.1353	0.1286	+0.0067	0.1252
10	8	clean	0.1242	0.1330	-0.0089	0.1318
10	8	texture	0.1242	0.1220	+0.0022	0.1210
10	8	shape	0.1131	0.1064	+0.0067	0.1113
10	8	spatial	0.1353	0.1286	+0.0067	0.1227
10	9	clean	0.1242	0.1286	-0.0044	0.1278
10	9	texture	0.1242	0.1220	+0.0022	0.1233
10	9	shape	0.1131	0.1153	-0.0022	0.1196
10	9	spatial	0.1353	0.1308	+0.0044	0.1279
10	10	clean	0.1242	0.1220	+0.0022	0.1212
10	10	texture	0.1242	0.1197	+0.0044	0.1173
10	10	shape	0.1131	0.1109	+0.0022	0.1167
10	10	spatial	0.1353	0.1264	+0.0089	0.1239
10	11	clean	0.1242	0.1153	+0.0089	0.1190
10	11	texture	0.1242	0.1220	+0.0022	0.1220
10	11	shape	0.1131	0.0931	+0.0200	0.1015
10	11	spatial	0.1353	0.1308	+0.0044	0.1311
11	0	clean	0.1242	0.1153	+0.0089	0.1152
11	0	texture	0.1242	0.1286	-0.0044	0.1265
11	0	shape	0.1131	0.1086	+0.0044	0.1135
11	0	spatial	0.1353	0.1330	+0.0022	0.1268
11	1	clean	0.1242	0.1086	+0.0155	0.1108
11	1	texture	0.1242	0.1197	+0.0044	0.1192
11	1	shape	0.1131	0.0998	+0.0133	0.1045
11	1	spatial	0.1353	0.1220	+0.0133	0.1212
11	2	clean	0.1242	0.1286	-0.0044	0.1263
11	2	texture	0.1242	0.1131	+0.0111	0.1106
11	2	shape	0.1131	0.1242	-0.0111	0.1296
11	2	spatial	0.1353	0.1375	-0.0022	0.1291
11	3	clean	0.1242	0.1175	+0.0067	0.1173
11	3	texture	0.1242	0.1042	+0.0200	0.1037
11	3	shape	0.1131	0.1064	+0.0067	0.1110
11	3	spatial	0.1353	0.1286	+0.0067	0.1238
11	4	clean	0.1242	0.1286	-0.0044	0.1321
11	4	texture	0.1242	0.1153	+0.0089	0.1145
11	4	shape	0.1131	0.1197	-0.0067	0.1221
11	4	spatial	0.1353	0.1308	+0.0044	0.1268
11	5	clean	0.1242	0.1397	-0.0155	0.1381
11	5	texture	0.1242	0.1175	+0.0067	0.1154
11	5	shape	0.1131	0.1197	-0.0067	0.1263
11	5	spatial	0.1353	0.1441	-0.0089	0.1357
11	6	clean	0.1242	0.1197	+0.0044	0.1194
11	6	texture	0.1242	0.1131	+0.0111	0.1117
11	6	shape	0.1131	0.1109	+0.0022	0.1159
11	6	spatial	0.1353	0.1286	+0.0067	0.1258
11	7	clean	0.1242	0.1153	+0.0089	0.1144
11	7	texture	0.1242	0.1175	+0.0067	0.1126
11	7	shape	0.1131	0.1175	-0.0044	0.1224
11	7	spatial	0.1353	0.1286	+0.0067	0.1233
11	8	clean	0.1242	0.1175	+0.0067	0.1168
11	8	texture	0.1242	0.1175	+0.0067	0.1157
11	8	shape	0.1131	0.1242	-0.0111	0.1308
11	8	spatial	0.1353	0.1330	+0.0022	0.1267
11	9	clean	0.1242	0.1220	+0.0022	0.1212
11	9	texture	0.1242	0.1197	+0.0044	0.1184
11	9	shape	0.1131	0.1175	-0.0044	0.1215
11	9	spatial	0.1353	0.1330	+0.0022	0.1280
11	10	clean	0.1242	0.1264	-0.0022	0.1251
11	10	texture	0.1242	0.1220	+0.0022	0.1197
11	10	shape	0.1131	0.1153	-0.0022	0.1166
11	10	spatial	0.1353	0.1353	+0.0000	0.1310
11	11	clean	0.1242	0.1109	+0.0133	0.1104
11	11	texture	0.1242	0.1153	+0.0089	0.1146
11	11	shape	0.1131	0.1064	+0.0067	0.1119
11	11	spatial	0.1353	0.1286	+0.0067	0.1240
