layer	head	probe	baseline	ablated_acc	drop	macro_f1
2	0	shape	0.1131	0.1131	+0.0000	0.1192
2	0	spatial	0.1353	0.1330	+0.0022	0.1292
2	1	clean	0.1242	0.1197	+0.0044	0.1161
2	1	texture	0.1242	0.1220	+0.0022	0.1167
2	1	shape	0.1131	0.1064	+0.0067	0.1106
2	1	spatial	0.1353	0.1197	+0.0155	0.1158
2	2	clean	0.1242	0.1264	-0.0022	0.1253
2	2	texture	0.1242	0.1264	-0.0022	0.1241
2	2	shape	0.1131	0.1153	-0.0022	0.1200
2	2	spatial	0.1353	0.1375	-0.0022	0.1312
2	3	clean	0.1242	0.1220	+0.0022	0.1208
2	3	texture	0.1242	0.1153	+0.0089	0.1145
2	3	shape	0.1131	0.1086	+0.0044	0.1144
2	3	spatial	0.1353	0.1308	+0.0044	0.1247
2	4	clean	0.1242	0.1220	+0.0022	0.1200
2	4	texture	0.1242	0.1220	+0.0022	0.1200
2	4	shape	0.1131	0.1109	+0.0022	0.1143
2	4	spatial	0.1353	0.1330	+0.0022	0.1294
2	5	clean	0.1242	0.1286	-0.0044	0.1278
2	5	texture	0.1242	0.1197	+0.0044	0.1163
2	5	shape	0.1131	0.1264	-0.0133	0.1253
2	5	spatial	0.1353	0.1397	-0.0044	0.1315
2	6	clean	0.1242	0.1242	+0.0000	0.1236
2	6	texture	0.1242	0.1220	+0.0022	0.1189
2	6	shape	0.1131	0.1153	-0.0022	0.1188
2	6	spatial	0.1353	0.1330	+0.0022	0.1287
2	7	clean	0.1242	0.1220	+0.0022	0.1223
2	7	texture	0.1242	0.1242	+0.0000	0.1215
2	7	shape	0.1131	0.1131	+0.0000	0.1196
2	7	spatial	0.1353	0.1308	+0.0044	0.1260
2	8	clean	0.1242	0.1175	+0.0067	0.1156
2	8	texture	0.1242	0.1175	+0.0067	0.1145
2	8	shape	0.1131	0.1109	+0.0022	0.1167
2	8	spatial	0.1353	0.1308	+0.0044	0.1236
2	9	clean	0.1242	0.1175	+0.0067	0.1170
2	9	texture	0.1242	0.1197	+0.0044	0.1192
2	9	shape	0.1131	0.1064	+0.0067	0.1119
2	9	spatial	0.1353	0.1330	+0.0022	0.1267
2	10	clean	0.1242	0.1175	+0.0067	0.1217
2	10	texture	0.1242	0.1175	+0.0067	0.1133
2	10	shape	0.1131	0.1220	-0.0089	0.1261
2	10	spatial	0.1353	0.1330	+0.0022	0.1253
2	11	clean	0.1242	0.1220	+0.0022	0.1191
2	11	texture	0.1242	0.1153	+0.0089	0.1125
2	11	shape	0.1131	0.1153	-0.0022	0.1140
2	11	spatial	0.1353	0.1264	+0.0089	0.1188
3	0	clean	0.1242	0.1220	+0.0022	0.1197
3	0	texture	0.1242	0.1131	+0.0111	0.1112
3	0	shape	0.1131	0.1153	-0.0022	0.1203
3	0	spatial	0.1353	0.1264	+0.0089	0.1223
3	1	clean	0.1242	0.1220	+0.0022	0.1225
3	1	texture	0.1242	0.1264	-0.0022	0.1235
3	1	shape	0.1131	0.1064	+0.0067	0.1116
3	1	spatial	0.1353	0.1286	+0.0067	0.1244
3	2	clean	0.1242	0.1197	+0.0044	0.1173
3	2	texture	0.1242	0.1153	+0.0089	0.1122
3	2	shape	0.1131	0.1131	+0.0000	0.1183
3	2	spatial	0.1353	0.1353	+0.0000	0.1291
3	3	clean	0.1242	0.1242	+0.0000	0.1233
3	3	texture	0.1242	0.1197	+0.0044	0.1179
3	3	shape	0.1131	0.1242	-0.0111	0.1278
3	3	spatial	0.1353	0.1353	+0.0000	0.1301
3	4	clean	0.1242	0.1153	+0.0089	0.1148
3	4	texture	0.1242	0.1042	+0.0200	0.1028
3	4	shape	0.1131	0.1020	+0.0111	0.1046
3	4	spatial	0.1353	0.1264	+0.0089	0.1211
3	5	clean	0.1242	0.1109	+0.0133	0.1137
3	5	texture	0.1242	0.1197	+0.0044	0.1168
3	5	shape	0.1131	0.1197	-0.0067	0.1213
3	5	spatial	0.1353	0.1463	-0.0111	0.1347
3	6	clean	0.1242	0.1286	-0.0044	0.1275
3	6	texture	0.1242	0.1286	-0.0044	0.1249
3	6	shape	0.1131	0.1242	-0.0111	0.1305
3	6	spatial	0.1353	0.1397	-0.0044	0.1314
3	7	clean	0.1242	0.1375	-0.0133	0.1353
3	7	texture	0.1242	0.1463	-0.0222	0.1383
3	7	shape	0.1131	0.1153	-0.0022	0.1175
3	7	spatial	0.1353	0.1463	-0.0111	0.1361
3	8	clean	0.1242	0.1242	+0.0000	0.1243
3	8	texture	0.1242	0.1220	+0.0022	0.1191
3	8	shape	0.1131	0.1131	+0.0000	0.1165
3	8	spatial	0.1353	0.1330	+0.0022	0.1292
3	9	clean	0.1242	0.1330	-0.0089	0.1332
3	9	texture	0.1242	0.1286	-0.0044	0.1263
3	9	shape	0.1131	0.1153	-0.0022	0.1199
3	9	spatial	0.1353	0.1330	+0.0022	0.1283
3	10	clean	0.1242	0.1286	-0.0044	0.1280
3	10	texture	0.1242	0.1242	+0.0000	0.1238
3	10	shape	0.1131	0.1153	-0.0022	0.1238
3	10	spatial	0.1353	0.1286	+0.0067	0.1258
3	11	clean	0.1242	0.1242	+0.0000	0.1234
3	11	texture	0.1242	0.1153	+0.0089	0.1147
3	11	shape	0.1131	0.1220	-0.0089	0.1245
3	11	spatial	0.1353	0.1264	+0.0089	0.1241
4	0	clean	0.1242	0.1242	+0.0000	0.1240
4	0	texture	0.1242	0.1220	+0.0022	0.1189
4	0	shape	0.1131	0.1175	-0.0044	0.1250
4	0	spatial	0.1353	0.1220	+0.0133	0.1162
4	1	clean	0.1242	0.1242	+0.0000	0.1230
4	1	texture	0.1242	0.1264	-0.0022	0.1231
4	1	shape	0.1131	0.1153	-0.0022	0.1185
4	1	spatial	0.1353	0.1486	-0.0133	0.1409
4	2	clean	0.1242	0.1264	-0.0022	0.1250
4	2	texture	0.1242	0.1153	+0.0089	0.1133
4	2	shape	0.1131	0.1153	-0.0022	0.1221
4	2	spatial	0.1353	0.1353	+0.0000	0.1359
4	3	clean	0.1242	0.1242	+0.0000	0.1222
4	3	texture	0.1242	0.1197	+0.0044	0.1155
4	3	shape	0.1131	0.1131	+0.0000	0.1165
4	3	spatial	0.1353	0.1264	+0.0089	0.1211
4	4	clean	0.1242	0.1286	-0.0044	0.1269
4	4	texture	0.1242	0.1109	+0.0133	0.1099
4	4	shape	0.1131	0.1153	-0.0022	0.1228
4	4	spatial	0.1353	0.1264	+0.0089	0.1231
4	5	clean	0.1242	0.1242	+0.0000	0.1234
4	5	texture	0.1242	0.1264	-0.0022	0.1238
4	5	shape	0.1131	0.1153	-0.0022	0.1218
4	5	spatial	0.1353	0.1308	+0.0044	0.1276
4	6	clean	0.1242	0.1264	-0.0022	0.1286
4	6	texture	0.1242	0.1153	+0.0089	0.1122
4	6	shape	0.1131	0.1153	-0.0022	0.1219
4	6	spatial	0.1353	0.1264	+0.0089	0.1243
4	7	clean	0.1242	0.1175	+0.0067	0.1190
4	7	texture	0.1242	0.1175	+0.0067	0.1142
4	7	shape	0.1131	0.1153	-0.0022	0.1212
4	7	spatial	0.1353	0.1286	+0.0067	0.1222
4	8	clean	0.1242	0.1131	+0.0111	0.1157
4	8	texture	0.1242	0.1131	+0.0111	0.1136
4	8	shape	0.1131	0.1175	-0.0044	0.1222
4	8	spatial	0.1353	0.1286	+0.0067	0.1287
4	9	clean	0.1242	0.1242	+0.0000	0.1234
4	9	texture	0.1242	0.1242	+0.0000	0.1221
4	9	shape	0.1131	0.1086	+0.0044	0.1130
4	9	spatial	0.1353	0.1353	+0.0000	0.1314
4	10	clean	0.1242	0.1242	+0.0000	0.1241
4	10	texture	0.1242	0.1197	+0.0044	0.1169
4	10	shape	0.1131	0.1153	-0.0022	0.1212
4	10	spatial	0.1353	0.1286	+0.0067	0.1249
4	11	clean	0.1242	0.1242	+0.0000	0.1209
4	11	texture	0.1242	0.1131	+0.0111	0.1122
4	11	shape	0.1131	0.1131	+0.0000	0.1181
4	11	spatial	0.1353	0.1330	+0.0022	0.1294
5	0	clean	0.1242	0.1131	+0.0111	0.1100
5	0	texture	0.1242	0.1175	+0.0067	0.1129
5	0	shape	0.1131	0.1131	+0.0000	0.1191
5	0	spatial	0.1353	0.1353	+0.0000	0.1294
5	1	clean	0.1242	0.1220	+0.0022	0.1231
5	1	texture	0.1242	0.1153	+0.0089	0.1148
5	1	shape	0.1131	0.1086	+0.0044	0.1158
5	1	spatial	0.1353	0.1375	-0.0022	0.1325
5	2	clean	0.1242	0.1220	+0.0022	0.1203
5	2	texture	0.1242	0.1175	+0.0067	0.1160
5	2	shape	0.1131	0.1109	+0.0022	0.1151
5	2	spatial	0.1353	0.1220	+0.0133	0.1180
5	3	clean	0.1242	0.1286	-0.0044	0.1283
5	3	texture	0.1242	0.1220	+0.0022	0.1163
5	3	shape	0.1131	0.1086	+0.0044	0.1140
5	3	spatial	0.1353	0.1286	+0.0067	0.1220
5	4	clean	0.1242	0.1220	+0.0022	0.1231
5	4	texture	0.1242	0.1175	+0.0067	0.1162
5	4	shape	0.1131	0.1064	+0.0067	0.1138
5	4	spatial	0.1353	0.1308	+0.0044	0.1284
5	5	clean	0.1242	0.1220	+0.0022	0.1216
5	5	texture	0.1242	0.1131	+0.0111	0.1112
5	5	shape	0.1131	0.1131	+0.0000	0.1205
5	5	spatial	0.1353	0.1330	+0.0022	0.1273
5	6	clean	0.1242	0.1220	+0.0022	0.1206
5	6	texture	0.1242	0.1197	+0.0044	0.1188
5	6	shape	0.1131	0.1131	+0.0000	0.1193
5	6	spatial	0.1353	0.1330	+0.0022	0.1271
5	7	clean	0.1242	0.1242	+0.0000	0.1249
5	7	texture	0.1242	0.1109	+0.0133	0.1102
5	7	shape	0.1131	0.1242	-0.0111	0.1287
5	7	spatial	0.1353	0.1286	+0.0067	0.1261
5	8	clean	0.1242	0.1175	+0.0067	0.1162
5	8	texture	0.1242	0.1220	+0.0022	0.1191
5	8	shape	0.1131	0.1131	+0.0000	0.1145
5	8	spatial	0.1353	0.1353	+0.0000	0.1269
5	9	clean	0.1242	0.1197	+0.0044	0.1177
5	9	texture	0.1242	0.1175	+0.0067	0.1148
5	9	shape	0.1131	0.1242	-0.0111	0.1281
5	9	spatial	0.1353	0.1197	+0.0155	0.1160
5	10	clean	0.1242	0.1308	-0.0067	0.1305
5	10	texture	0.1242	0.1264	-0.0022	0.1258
5	10	shape	0.1131	0.1242	-0.0111	0.1287
5	10	spatial	0.1353	0.1441	-0.0089	0.1410
5	11	clean	0.1242	0.1109	+0.0133	0.1126
5	11	texture	0.1242	0.1175	+0.0067	0.1168
5	11	shape	0.1131	0.1086	+0.0044	0.1154
5	11	spatial	0.1353	0.1308	+0.0044	0.1277
6	0	clean	0.1242	0.1242	+0.0000	0.1236
6	0	texture	0.1242	0.1264	-0.0022	0.1230
6	0	shape	0.1131	0.1109	+0.0022	0.1145
6	0	spatial	0.1353	0.1264	+0.0089	0.1243
6	1	clean	0.1242	0.1242	+0.0000	0.1234
6	1	texture	0.1242	0.1197	+0.0044	0.1182
6	1	shape	0.1131	0.1220	-0.0089	0.1254
6	1	spatial	0.1353	0.1308	+0.0044	0.1266
6	2	clean	0.1242	0.1308	-0.0067	0.1309
6	2	texture	0.1242	0.1220	+0.0022	0.1169
6	2	shape	0.1131	0.1197	-0.0067	0.1245
6	2	spatial	0.1353	0.1308	+0.0044	0.1256
6	3	clean	0.1242	0.1197	+0.0044	0.1215
6	3	texture	0.1242	0.1220	+0.0022	0.1228
6	3	shape	0.1131	0.1242	-0.0111	0.1257
6	3	spatial	0.1353	0.1308	+0.0044	0.1302
6	4	clean	0.1242	0.1153	+0.0089	0.1158
6	4	texture	0.1242	0.1131	+0.0111	0.1127
6	4	shape	0.1131	0.1131	+0.0000	0.1181
6	4	spatial	0.1353	0.1286	+0.0067	0.1238
6	5	clean	0.1242	0.1286	-0.0044	0.1283
